2018/02/28 11:02:28 午前 GMT+9	4	男	当時は何となく選んだ	特になし	情報系	Windows	英検;漢検;TOEIC (300以上);数検	プログラミングをすること;ゲーム制作	休みが多い	とりあえず卒業する		大学編入	情報 (工学)系;情報 (理学？データサイエンス)系	岐阜大学		
2018/02/28 12:28:53 午後 GMT+9	4	男	プログラミング学べる	特になし	情報系	Windows	漢検;TOEIC (300以上);アマチュア無線;基本情報処理技術者 (FE)	プログラミングをすること	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;休みが多い;部活が楽しい	情報セキュリティやりたい		就職			システムエンジニア;ソフトウェア開発	デンソーITソリューションズ
2018/02/28 12:29:15 午後 GMT+9	4	女	射精す	特になし	電気電子系	Siri	SEX検定4級	まんこの中身	キズナアイ 	Youtuber		迷っている				
2018/02/28 2:13:08 午後 GMT+9	5	男	Dの入試に落ちて第二希望のEになった	お勉強くるしい	情報系	Windows	TOEIC (300以上)	特になし	同じ趣味の人が多いこと	卒論を他人にやらせること	覚悟はできたか…	就職			メーカー職	
2018/02/28 3:40:59 午後 GMT+9	5	男	なんとなく	特になし	情報系	Windows	英検;数検;漢検;TOEIC (500以上)	プログラミングをすること	同じ趣味の人が多いこと	卒業します	後悔はしないように	就職			システムエンジニア	
2018/02/28 3:42:33 午後 GMT+9	5	男	兄も通ってて、知ってたから	特になし	電気電子系	Windows	数検;漢検;TOEIC (300以上);電気主任技術者試験なら、電験と略すのが一般的と思います	特になし	寮が暮らしやすい	特になし	寮は感じ方次第	就職			システムエンジニア;家電・電子機器などの開発;電気工事	
2018/02/28 3:44:07 午後 GMT+9	1	男	ゲーム作りたいから	特になし	情報系	Windows	英検	プログラミングをすること;ゲーム制作;アプリ開発	同じ趣味の人が多いこと;休みが多い;部活が楽しい	絵しりとり	イケイケ高専ボーイを信じるな	専攻科進学				
2018/02/28 3:44:29 午後 GMT+9	1	男	JRに入りたかったから	特になし	電気電子系	Windows	英検;数検	電動機や発電機（モータ）;発電効率・発電方法	授業が面白い;休みが多い	資格をたくさんとる	留年するなよ	大学編入	電気系	名古屋大学		
2018/02/28 3:44:33 午後 GMT+9	1	男	なんとなく	特になし	電気電子系	Windows	持ってない	電動機や発電機（モータ）;発電効率・発電方法;プラズマ・核融合	やりたいことが出来ること;休みが多い	なし	頑張って	迷っている				
2018/02/28 3:44:55 午後 GMT+9	1	男	プログラミングを学べるから	特になし	情報系	Windows	英検	プログラミングをすること;ディープラーニングや人工知能;ゲーム制作;Webサイト制作;アプリ開発	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	プログラミング学習	楽しいよ！	大学編入	情報 (工学)系			
