教授,yasuda/index.html, 安田 　真, YASUDA Makoto, 博士（工学）, ソフトコンピューティング, 最適化アルゴリズム, 情報統計力学, 情報の可視化,
教授,deguchi/index.html, 出口 利憲, DEGUCHI Toshinori, 博士（工学）, ニューラルネットワーク, 時系列, 連想記憶, バックプロパゲーション,
准教授,hyamada/cms/,山田 博文, YAMADA Hirofumi, 博士（工学）, 文字・画像認識, 教育支援システム,
准教授,ktajima/index.html,田島 孝治, TAJIMA Koji, 博士（工学）, モバイルコンピューティング, GPS, GIS,
助教,tomimoto/index.html, 冨本 裕公, TOMIMOTO Hiromasa, 博士（工学）, 福祉工学（高齢者安否確認・障がい者支援）, センサ, 画像処理, ロボット,
名誉教授,,山田 功, YAMADA Isao, 博士（工学）,,,,,
